Product,Date,Time,SN,MAC,Result,Filename
TN-86_PICO-IMX7,2026-01-07,11:10:49,513126020168,001F7B6BD10E_001F7B6BD10F,PASS,20260107_111049_513126020168_001F7B6BD10E_001F7B6BD10F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:11:10,513126020158,001F7B6BD0FA_001F7B6BD0FB,PASS,20260107_111110_513126020158_001F7B6BD0FA_001F7B6BD0FB_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:11:26,513126020167,001F7B6BD10C_001F7B6BD10D,PASS,20260107_111126_513126020167_001F7B6BD10C_001F7B6BD10D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:12:08,513126020175,001F7B6BD11C_001F7B6BD11D,PASS,20260107_111208_513126020175_001F7B6BD11C_001F7B6BD11D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:12:39,513126020282,001F7B6BD1F2_001F7B6BD1F3,PASS,20260107_111239_513126020282_001F7B6BD1F2_001F7B6BD1F3_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:14:45,513126020274,001F7B6BD1E2_001F7B6BD1E3,PASS,20260107_111445_513126020274_001F7B6BD1E2_001F7B6BD1E3_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:19:52,513126020273,001F7B6BD1E0_001F7B6BD1E1,PASS,20260107_111952_513126020273_001F7B6BD1E0_001F7B6BD1E1_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:20:44,513126020275,001F7B6BD1E4_001F7B6BD1E5,PASS,20260107_112044_513126020275_001F7B6BD1E4_001F7B6BD1E5_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:21:04,513126020271,001F7B6BD1DC_001F7B6BD1DD,PASS,20260107_112104_513126020271_001F7B6BD1DC_001F7B6BD1DD_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:21:27,513126020277,001F7B6BD1E8_001F7B6BD1E9,PASS,20260107_112127_513126020277_001F7B6BD1E8_001F7B6BD1E9_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:21:42,513126020276,001F7B6BD1E6_001F7B6BD1E7,PASS,20260107_112142_513126020276_001F7B6BD1E6_001F7B6BD1E7_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:22:20,513126020286,001F7B6BD1FA_001F7B6BD1FB,PASS,20260107_112220_513126020286_001F7B6BD1FA_001F7B6BD1FB_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:26:25,513126020288,001F7B6BD1FE_001F7B6BD1FF,PASS,20260107_112625_513126020288_001F7B6BD1FE_001F7B6BD1FF_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:26:57,513126020292,001F7B6BD206_001F7B6BD207,PASS,20260107_112657_513126020292_001F7B6BD206_001F7B6BD207_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:27:46,513126020293,001F7B6BD208_001F7B6BD209,PASS,20260107_112746_513126020293_001F7B6BD208_001F7B6BD209_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:28:15,513126020296,001F7B6BD20E_001F7B6BD20F,PASS,20260107_112815_513126020296_001F7B6BD20E_001F7B6BD20F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:28:43,513126020295,001F7B6BD20C_001F7B6BD20D,PASS,20260107_112843_513126020295_001F7B6BD20C_001F7B6BD20D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:31:24,513126020300,001F7B6BD216_001F7B6BD217,PASS,20260107_113124_513126020300_001F7B6BD216_001F7B6BD217_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:32:28,513126020294,001F7B6BD20A_001F7B6BD20B,PASS,20260107_113228_513126020294_001F7B6BD20A_001F7B6BD20B_PASS.txt
